Inventory #,Inventory Usual Location,Desc,Commodity Group,Comm Grp Alpha,Inventory Description,GL A/C #,Standard Cost,Avg Hist Cost Per Unit,Quan On Hand,Unit Of Measure,Cost On Hand,Last Issue,Last Receipt,Vendor,Units: Begin,Memo Inventory
CARBIDE BLADE 3',180,,180,GRADER BLADES,3' Carbide Grader Blade,301.06,50.0000,50.00,10.0000,EACH,500.00,6/01/2026,1/01/2026,CENTRAL,,
CARBIDE BLADE 3',7,,7,KENESAW SHED,3' Carbide Grader Blade,301.06,50.0000,50.00,4.0000,EACH,200.00,6/01/2026,1/01/2026,CENTRAL,,
CARBIDE BLADE 3',8,,8,HOLSTEIN SHED,3' Carbide Grader Blade,301.06,50.0000,50.00,2.0000,EACH,100.00,6/01/2026,1/01/2026,CENTRAL,,
ELCHD-26,7,,7,KENESAW SHED,Extended Life Coolant,301.06,20.0000,20.00,3.0000,GALLON,60.00,5/01/2026,1/01/2026,NAPA,,
ELCHD-26,8,,8,HOLSTEIN SHED,Extended Life Coolant,301.06,20.0000,20.00,1.0000,GALLON,20.00,5/01/2026,1/01/2026,NAPA,,
#14 (MS660-36),102,,35,CHAINSAWS,A/C #705-0595 Stihl 36",511.02,1016.9900,1016.99,1.0000,EACH,1016.99,,6/28/2011,GENES REPA,,
1-06A,1,,1,SHOP TOOLS,42" Fan,304.01,315.6900,315.69,2.0000,EACH,631.38,,8/16/2011,U.S. BANK,,
5D-9561,180,,180,GRADER BLADES,CAT 7' Cutting Edge,301.06,100.0000,100.00,2.0000,EACH,200.00,3/01/2026,1/01/2026,CENTRAL,,
5D-9561,11,,11,PAULINE SHED,(YARD) CAT 7' Cutting Edge,301.06,100.0000,100.00,1.0000,EACH,100.00,3/01/2026,1/01/2026,CENTRAL,,
NEG-1,134,,134,PARTS,Something Miscounted,301.06,10.0000,10.00,-3.0000,EACH,-30.00,2/01/2026,1/01/2026,AUTO VALUE,,
GHOST-1,134,,134,PARTS,Value With No Stock,301.06,10.0000,10.00,0.0000,EACH,125.50,2/01/2026,1/01/2026,AUTO VALUE,,
EMPTY-1,134,,134,PARTS,Nothing At All,301.06,0.0000,0.00,0.0000,EACH,0.00,,,,,
NOGL-1,134,,134,PARTS,No GL Code,,5.0000,5.00,4.0000,EACH,20.00,2/01/2026,1/01/2026,AUTO VALUE,,
HALF-EXACT,134,,134,PARTS,Exactly Representable Half,301.06,16.1250,16.125,8.0000,EACH,129.00,2/01/2026,1/01/2026,AUTO VALUE,,
HALF-INEXACT,134,,134,PARTS,Not Quite A Half,301.06,1.2950,1.295,8.0000,EACH,54.21,2/01/2026,1/01/2026,AUTO VALUE,,
STRAY-1,1,,1,AYR SHED,Fuel Tank Filed Under The Wrong Group,301.06,3303.3000,3303.30,1.0000,EACH,3303.30,,1/01/2020,U.S. BANK,,
,134,,134,PARTS,Row With No Part Number,301.06,1.0000,1.00,1.0000,EACH,1.00,,,,,
MONEY-1,134,,134,PARTS,"Priced With Commas",301.06,"1,250.00","1,250.00",2.0000,EACH,"2,500.00",2/01/2026,1/01/2026,AUTO VALUE,,
